iter	RMSE
0	2.793025253
1	2.552551553
2	2.33833147
3	2.144220416
4	1.971417364
5	1.821980592
6	1.687464073
7	1.570358619
8	1.465970777
9	1.374685221
10	1.291034805
11	1.216515964
12	1.15233161
13	1.096180227
14	1.046816566
15	1.004624328
16	0.9679391652
17	0.9342143849
18	0.9054011377
19	0.8820844265
20	0.8616854577
21	0.844629071
22	0.8286773176
23	0.8156616659
24	0.8048112776
25	0.7949348364
26	0.7869401647
27	0.77982069
28	0.7732858924
29	0.7682681273
30	0.76338449
31	0.7594277459
32	0.7561842891
33	0.7533858623
34	0.7507547731
35	0.7486313935
36	0.7464813875
37	0.7448118043
38	0.7430502799
39	0.7416405299
40	0.7403501462
41	0.7393087915
42	0.7384195144
43	0.7373396788
44	0.7366179319
45	0.7359484955
46	0.7354989041
47	0.7349178565
48	0.7341853226
49	0.7337614456
50	0.7332249384
51	0.7324782957
52	0.7319853711
53	0.7315518716
54	0.7311505086
55	0.7307847761
56	0.7304452869
57	0.7300134259
58	0.7297274259
59	0.7294059678
60	0.7291620989
61	0.7288630163
62	0.7286185426
63	0.7283974654
64	0.7282121302
65	0.7281064733
66	0.7279314564
67	0.7278055363
68	0.7276917059
69	0.7275871324
70	0.7275868089
71	0.7273959773
72	0.7272125395
73	0.7270789979
74	0.7269861556
75	0.7267969823
76	0.7267088202
77	0.7266555147
78	0.726457667
79	0.726335235
80	0.7261794314
81	0.7261298771
82	0.7259576165
83	0.7258813124
84	0.7257854428
85	0.7257345364
86	0.7256454915
87	0.7255274345
88	0.7254830511
89	0.7254068587
90	0.7253277449
91	0.7252784308
92	0.7252418882
93	0.7250556466
94	0.7249586398
95	0.7248529559
96	0.7248227473
97	0.7247562054
98	0.7247354754
99	0.7246904328
100	0.7246593949
101	0.7245958607
102	0.7245392895
103	0.724451855
104	0.724415016
105	0.7243770007
106	0.7242848083
107	0.7242064469
108	0.7241532947
109	0.7241378098
110	0.723995557
111	0.7239721662
112	0.723912293
113	0.7239122915
114	0.7238874807
115	0.7238073076
116	0.7237672538
117	0.7237324765
118	0.72370055
119	0.7237003614
120	0.7236961672
121	0.723696166
122	0.7235943028
123	0.7235510935
124	0.723482787
125	0.7234006301
126	0.7233851792
127	0.7233544638
128	0.7233000076
129	0.7232324863
130	0.7231550722
131	0.7230569685
132	0.7230053098
133	0.7229391932
134	0.7229390126
135	0.7228487227
136	0.7228291148
137	0.7227764747
138	0.7227183268
139	0.7226768754
140	0.7225806542
141	0.7225732035
142	0.7225216156
143	0.7225214376
144	0.7224806974
145	0.7224574269
146	0.7224128565
147	0.7223181542
148	0.722263067
149	0.7222159508
150	0.7221681096
151	0.722133836
152	0.7220786745
153	0.7220344043
154	0.7219929698
155	0.7219675289
156	0.7219487214
157	0.7218153341
158	0.7217876138
159	0.7217615946
160	0.7217593269
161	0.7217583415
162	0.7217520518
163	0.7216333155
164	0.7215757023
165	0.7215611702
166	0.721483907
167	0.721464268
168	0.7214340854
169	0.7214157978
170	0.7214137181
171	0.7213946737
172	0.7213485243
173	0.7212800208
174	0.7212413677
175	0.7212403761
176	0.721183975
177	0.7211674254
178	0.7210786171
179	0.7210037921
180	0.7209919245
181	0.7209579975
182	0.7209091902
183	0.7208797914
184	0.7208026533
185	0.7207728136
186	0.7207541995
187	0.7207236011
188	0.7206592774
189	0.7206357164
190	0.7206018202
191	0.7205588215
192	0.7205081311
193	0.7204835042
194	0.7204722254
195	0.7204518857
196	0.7204006854
197	0.7203320453
198	0.7203132181
199	0.7201916883
200	0.7201500492
201	0.720097174
202	0.7200531855
203	0.7199501185
204	0.7198783226
205	0.719854402
206	0.7197504083
207	0.7197129624
208	0.7197078876
209	0.719630101
210	0.7195617618
211	0.7195438891
212	0.7195307122
213	0.7194660629
214	0.7194410383
215	0.7194144553
216	0.7193825745
217	0.7192946373
218	0.719272635
219	0.7192396525
220	0.7192323915
221	0.7191962196
222	0.7191943625
223	0.7191720612
224	0.7191477265
225	0.7191205597
226	0.7190896682
227	0.71905344
228	0.7190308826
229	0.7189440174
230	0.7189295983
231	0.7189065594
232	0.7189015816
233	0.7188516115
234	0.7188330353
235	0.7188084628
236	0.7187576858
237	0.7187361315
238	0.7187133933
239	0.7186749612
240	0.7186480693
241	0.7186371269
242	0.718598022
243	0.7185740682
244	0.7185679252
245	0.7185348143
246	0.7185165835
247	0.7185006765
248	0.718446369
249	0.7184152945
250	0.7183855918
251	0.7183211766
252	0.7182871209
253	0.7182812432
254	0.718263271
255	0.7181996819
256	0.7181992851
257	0.7181864876
258	0.7181318027
259	0.7181037825
260	0.7180594882
261	0.7180474522
262	0.7180179018
263	0.7180147223
264	0.7179888862
265	0.7179347252
266	0.7178962272
267	0.7178785101
268	0.7178173718
269	0.7177348981
270	0.7177066714
271	0.717573352
272	0.7175428571
273	0.7174971303
274	0.7174694579
275	0.7173897136
276	0.7173350429
277	0.7172911712
278	0.7172744071
279	0.7172355216
280	0.7172052745
281	0.7171702052
282	0.7171695054
283	0.7170869861
284	0.7170668718
285	0.7170257998
286	0.7170106689
287	0.71695812
288	0.7169307509
289	0.7169100739
290	0.7168487587
291	0.7168474344
292	0.7168457405
293	0.7167486214
294	0.7167303883
295	0.7167290361
296	0.716667216
297	0.7166374996
298	0.7165525936
299	0.7165518736
300	0.7165316879
301	0.7165104072
302	0.7164277636
