iter	Passed	Remaining
0	1273	1272309
1	1892	944357
2	2744	912044
3	3756	935490
4	4524	900364
5	5085	842445
6	5856	830853
7	6557	813149
8	7278	801487
9	7943	786439
10	8833	794195
11	9924	817078
12	10896	827325
13	11732	826314
14	12563	825000
15	13528	832020
16	14518	839533
17	15474	844233
18	16669	860671
19	17499	857471
20	18614	867801
21	19589	870839
22	20748	881366
23	21712	882957
24	22836	890612
25	23949	897199
26	25071	903504
27	26128	907026
28	27200	910751
29	28323	915802
30	29632	926268
31	30623	926371
32	31835	932880
33	32816	932367
34	33682	928664
35	34876	933925
36	36232	943023
37	37326	944946
38	38483	948280
39	39503	948090
40	40630	950351
41	41862	954870
42	43154	960428
43	44253	961511
44	45515	965945
45	46567	965760
46	47684	966870
47	48762	967131
48	49915	968765
49	51336	975387
50	52486	976652
51	53649	978079
52	54842	979930
53	56042	981782
54	57245	983578
55	58414	984700
56	59392	982581
57	60471	982133
58	61530	981358
59	62833	984385
60	63880	983335
61	64935	982411
62	66056	982465
63	67018	980141
64	68394	983823
65	69563	984428
66	70642	983719
67	71731	983139
68	72851	982965
69	74054	983870
70	74303	972222
71	75289	970392
72	76386	970003
73	77499	969796
74	78497	968135
75	79389	965209
76	80309	962672
77	81200	959830
78	82317	959681
79	83264	957543
80	84355	957074
81	85217	954015
82	86328	953771
83	87425	953354
84	88587	953613
85	89533	951554
86	90715	951987
87	91794	951325
88	92713	949007
89	93883	949262
90	94968	948642
91	95921	946704
92	96857	944623
93	97965	944225
94	98806	941259
95	99864	940388
96	100891	939230
97	101894	937844
98	102743	935068
99	103775	933980
100	104672	931689
101	105702	930593
102	106599	928344
103	107920	929775
104	109006	929148
105	109987	927630
106	110840	925051
107	111888	924118
108	112787	921957
109	113737	920236
110	114781	919287
111	115703	917364
112	117004	918434
113	117114	910208
114	117791	906485
115	118966	906609
116	120115	906511
117	121172	905710
118	122268	905199
119	122440	897899
120	123209	895053
121	123387	887987
122	124252	885927
123	125121	883924
124	126125	882878
125	127035	881183
126	128134	880795
127	129144	879796
128	130005	877786
129	131018	876814
130	132205	876999
131	133413	877296
132	134591	877374
133	135901	878286
134	136195	872661
135	137251	871951
136	138244	870836
137	139223	869643
138	140465	870076
139	141512	869293
140	143126	871956
141	144110	870753
142	145148	869874
143	145430	864501
144	146527	864004
145	147298	861596
146	148375	860979
147	149576	861073
148	150712	860777
149	151746	859897
150	152992	860203
151	153954	858902
152	155060	858408
153	156175	857949
154	157199	856991
155	158305	856472
156	159302	855362
157	160545	855565
158	161469	854060
159	162374	852467
160	163236	850657
161	163990	848296
162	165006	847303
163	166069	846548
164	166990	845074
165	168013	844116
166	169302	844485
167	170272	843252
168	171391	842761
169	172334	841400
170	173393	840604
171	174583	840437
172	175682	839823
173	176862	839586
174	177927	838798
175	178820	837204
176	180165	837719
177	181265	837078
178	182698	837965
179	183844	837513
180	184785	836130
181	185965	835822
182	187161	835579
183	188317	835148
184	189467	834683
185	190685	834506
186	191600	833001
187	192563	831710
188	193743	831355
189	195125	831849
190	196027	830292
191	197181	829803
192	198477	829904
193	199579	829182
194	200735	828677
195	201817	827865
196	202977	827365
197	203951	826104
198	205360	826600
199	206484	825937
200	207623	825327
201	208930	825379
202	210038	824633
203	211635	825792
204	212962	825879
205	213888	824406
206	215274	824697
207	216413	824036
208	217327	822517
209	218717	822794
210	220153	823228
211	221310	822607
212	222465	821971
213	223723	821714
214	224766	820660
215	226110	820696
216	227544	821046
217	228917	821162
218	229847	819684
219	230965	818877
220	232054	817965
221	233207	817277
222	234311	816414
223	235524	815923
224	237040	816471
225	238267	816013
226	239867	816817
227	241363	817248
228	242396	816103
229	243283	814472
230	244157	812801
231	245648	813179
232	246696	812087
233	247933	811610
234	248854	810100
235	249939	809127
236	250967	807968
237	252021	806893
238	253322	806602
239	254263	805168
240	255491	804639
241	256698	804037
242	258104	804053
243	259263	803290
244	260281	802091
245	261893	802714
246	263130	802176
247	264238	801240
248	265309	800190
249	266306	798920
250	267342	797766
251	268699	797569
252	270016	797242
253	271169	796425
254	272324	795613
255	273581	795095
256	274585	793839
257	275832	793285
258	276978	792436
259	278501	792659
260	279916	792559
261	280922	791299
262	282001	790248
263	283017	789018
264	284215	788296
265	285473	787734
266	286399	786258
267	287386	784952
268	288467	783901
269	289827	783607
270	291057	782955
271	292123	781859
272	293188	780761
273	294557	780470
274	295508	779068
275	296418	777562
276	297549	776636
277	298645	775620
278	299781	774704
279	301208	774537
280	302343	773613
281	303802	773512
282	304893	772467
283	305775	770899
284	306869	769866
285	308268	769593
286	309536	768988
287	310649	767995
288	311664	766760
289	312962	766218
290	314391	765991
291	315446	764850
292	316562	763856
293	318201	764115
294	319596	763782
295	320899	763220
296	321964	762090
297	323140	761223
298	324390	760527
299	325479	759451
300	326200	757522
301	327255	756371
302	328615	755923
